Box #,Round,Site,Spp,Patch,Exclosure,Rep,PRVial,Sample Shorthand,MS/MS Date,File Name rep 1,File Name rep 2,Notes,Includes,# Samples/Box,,,,,,,,
4,2,CI,Pg,E,1,1,G022,CI-E,,,,,,,,,,,,,,
4,2,CI,Pg,E,1,2,G023,CI-E,,,,,,,,,,,,,,
4,2,CI,Pg,E,1,3,G024,CI-E,,,,,,,,,,,,,,
4,2,SK,Pg,B,5,1,G025,SK-B,,,,,,,,,,,,,,
4,2,SK,Pg,B,6,1,G026,SK-B,,,,,,,,,,,,,,
4,2,SK,Pg,E,2,1,G027,SK-E,,,,,,,,,,,,,,
2,1,PG,Pg,E,3,1,G028,PG-E,,,,,,,,,,,,,,
2,1,PG,Pg,E,3,2,G029,PG-E,,,,,,,,,,,,,,
2,1,PG,Pg,E,3,3,G030,PG-E,,,,,,,,,,,,,,
2,1,PG,Pg,E,3,4,G031,PG-E,,,,,,,,,,,,,,
2,1,PG,Pg,E,3,5,G032,PG-E,,,,,,,,,,,,,,
4,2,FB,Pg,E,1,1,G033,FB-E,,,,,,,,,,,,,,
4,2,FB,Pg,E,1,2,G034,FB-E,,,,,,,,,,,,,,
4,2,FB,Pg,E,1,3,G035,FB-E,,,,,,,,,,,,,,
1,1,FB,Pg,B,6,5,G036,FB-B,,,,,,,,,,,,,,
1,1,FB,Pg,B,6,4,G037,FB-B,,,,,,,,,,,,,,
2,1,SK,Pg,E,2,3,G100,SK-E,,,,,,,,,,,,,,
2,1,SK,Pg,E,3,1,G101,SK-E,,,,,,,,,,,,,,
2,1,SK,Pg,E,3,2,G102,SK-E,,,,,,,,,,,,,,
2,1,SK,Pg,E,3,3,G103,SK-E,,,,,,,,,,,,,,
1,1,WB,Pg,B,4,1,G104,WB-B,,,,,,,,,,,,,,
1,1,WB,Pg,B,4,2,G105,WB-B,,,,,,,,,,,,,,
1,1,WB,Pg,B,4,3,G106,WB-B,,,,,,,,,,,,,,
1,1,WB,Pg,B,4,4,G107,WB-B,,,,,,,,,,,,,,
1,1,WB,Pg,B,4,5,G108,WB-B,,,,,,,,,,,,,,
2,1,WB,Pg,E,3,1,G109,WB-E,,,,,,,,,,,,,,
2,1,WB,Pg,E,3,2,G110,WB-E,,,,,,,,,,,,,,
2,1,WB,Pg,E,3,3,G111,WB-E,,,,,,,,,,,,,,
2,1,WB,Pg,E,3,4,G112,WB-E,,,,,,,,,,,,,,
2,1,WB,Pg,E,3,5,G113,WB-E,,,,,,,,,,,,,,
1,1,WB,Pg,B,6,1,G114,WB-B,,,,,,,,,,,,,,
1,1,WB,Pg,B,6,2,G115,WB-B,,,,,,,,,,,,,,
1,1,WB,Pg,B,6,3,G116,WB-B,,,,,,,,,,,,,,
1,1,WB,Pg,B,6,4,G117,WB-B,,,,,,,,,,,,,,
1,1,WB,Pg,B,6,5,G118,WB-B,,,,,,,,,,,,,,
1,1,WB,Pg,B,5,1,G119,WB-B,1/23/17,geoduck7,geoduck11,,,,,,,,,,,
1,1,WB,Pg,B,5,2,G120,WB-B,,,,,,,,,,,,,,
1,1,WB,Pg,B,5,3,G121,WB-B,,,,,,,,,,,,,,
1,1,WB,Pg,B,5,4,G122,WB-B,,,,,,,,,,,,,,
1,1,WB,Pg,B,5,5,G123,WB-B,,,,,,,,,,,,,,
2,1,WB,Pg,E,2,1,G124,WB-E,,,,,,,,,,,,,,
2,1,WB,Pg,E,2,2,G125,WB-E,,,,,,,,,,,,,,
2,1,WB,Pg,E,2,3,G126,WB-E,,,,,,,,,,,,,,
4,2,WB,Pg,E,3,1,G126,WB-E,,,,,,,,,,,,,,
2,1,WB,Pg,E,2,4,G127,WB-E,,,,,,,,,,,,,,
2,1,WB,Pg,E,2,5,G128,WB-E,,,,,,,,,,,,,,
2,1,WB,Pg,E,1,1,G129,WB-E,,,,,,,,,,,,,,
2,1,WB,Pg,E,1,2,G130,WB-E,,,,,,,,,,,,,,
2,1,WB,Pg,E,1,3,G131,WB-E,1/23/17,geoduck2,n/a,"Tissue sample likely jumped out of tube; no protein in this sample to analyze, did not do 2nd rep on Lumos",,,,,,,,,,
2,1,WB,Pg,E,1,4,G132,WB-E,,,,,,,,,,,,,,
4,2,WB,Pg,E,3,2,G133,WB-E,,,,,,,,,,,,,,
4,2,WB,Pg,E,3,3,G134,WB-E,,,,,,,,,,,,,,
4,2,WB,Pg,E,3,4,G135,WB-E,,,,,,,,,,,,,,
4,2,FB,Pg,E,2,2,G136,FB-E,,,,,,,,,,,,,,
4,2,WB,Pg,E,1,1,G136,WB-E,,,,,,,,,,,,,,
4,2,WB,Pg,E,1,2,G137,WB-E,,,,,,,,,,,,,,
4,2,WB,Pg,E,2,1,G138,WB-E,,,,,,,,,,,,,,
4,2,WB,Pg,E,2,2,G139,WB-E,,,,,,,,,,,,,,
4,2,WB,Pg,E,2,3,G140,WB-E,,,,,,,,,,,,,,
3,2,WB,Pg,B,5,1,G141,WB-B,,,,,,,,,,,,,,
3,2,WB,Pg,B,5,2,G142,WB-B,,,,,,,,,,,,,,
3,2,WB,Pg,B,5,3,G143,WB-B,,,,,,,,,,,,,,
3,2,WB,Pg,B,5,4,G144,WB-B,,,,,,,,,,,,,,
3,2,WB,Pg,B,4,1,G145,WB-B,,,,,,,,,,,,,,
3,2,WB,Pg,B,4,2,G146,WB-B,,,,,,,,,,,,,,
3,2,WB,Pg,B,4,3,G147,WB-B,,,,,,,,,,,,,,
3,2,WB,Pg,B,6,1,G148,WB-B,,,,,,,,,,,,,,
3,2,WB,Pg,B,6,2,G149,WB-B,,,,,,,,,,,,,,
3,2,WB,Pg,B,6,3,G150,WB-B,,,,,,,,,,,,,,
4,2,SK,Pg,E,3,1,G151,SK-E,,,,,,,,,,,,,,
4,2,SK,Pg,E,1,1,G152,SK-E,,,,,,,,,,,,,,
4,2,FB,Pg,E,2,3,G178,FB-E,,,,,,,,,,,,,,
3,2,FB,Pg,B,6,1,G179,FB-B,,,,,,,,,,,,,,
3,2,FB,Pg,B,6,2,G180,FB-B,,,,,,,,,,,,,,
3,2,FB,Pg,B,6,3,G187,FB-B,,,,,,,,,,,,,,
3,2,FB,Pg,B,6,4,G188,FB-B,,,,,,,,,,,,,,
3,2,FB,Pg,B,4,1,G189,FB-B,,,,,,,,,,,,,,
3,2,FB,Pg,B,4,2,G190,FB-B,,,,,,,,,,,,,,
3,2,FB,Pg,B,4,3,G191,FB-B,,,,,,,,,,,,,,
3,2,FB,Pg,B,4,4,G192,FB-B,,,,,,,,,,,,,,
3,2,FB,Pg,B,4,5,G193,FB-B,,,,,,,,,,,,,,
4,2,PG,Pg,E,3,1,G194,PG-E,,,,,,,,,,,,,,
4,2,PG,Pg,E,3,2,G195,PG-E,,,,,,,,,,,,,,
4,2,PG,Pg,E,3,3,G196,PG-E,,,,,,,,,,,,,,
4,2,PG,Pg,E,3,4,G197,PG-E,,,,,,,,,,,,,,
4,2,PG,Pg,E,2,1,G198,PG-E,,,,,,,,,,,,,,
4,2,PG,Pg,E,2,2,G199,PG-E,,,,,,,,,,,,,,
3,2,PG,Pg,B,6,1,G200,PG-B,,,,,,,,,,,,,,
3,2,PG,Pg,B,6,2,G201,PG-B,,,,,,,,,,,,,,
3,2,PG,Pg,B,6,3,G202,PG-B,,,,,,,,,,,,,,
3,2,PG,Pg,B,6,4,G203,PG-B,,,,,,,,,,,,,,
3,2,PG,Pg,B,5,1,G204,PG-B,,,,,,,,,,,,,,
3,2,PG,Pg,B,4,1,G205,PG-B,,,,,,,,,,,,,,
3,2,PG,Pg,B,4,2,G206,PG-B,,,,,,,,,,,,,,
3,2,PG,Pg,B,4,3,G207,PG-B,,,,,,,,,,,,,,
3,2,PG,Pg,B,4,4,G208,PG-B,,,,,,,,,,,,,,
3,2,PG,Pg,B,4,5,G209,PG-B,,,,,,,,,,,,,,
1,1,FB,Pg,B,6,3,G038,FB-B,,,,,,,,,,,,,,
1,1,FB,Pg,B,6,2,G039,FB-B,,,,,,,,,,,,,,
1,1,FB,Pg,B,6,1,G040,FB-B,,,,,,,,,,,,,,
1,1,FB,Pg,B,4,3,G041,FB-B,,,,,,,,,,,,,,
1,1,FB,Pg,B,4,2,G042,FB-B,,,,,,,,,,,,,,
1,1,FB,Pg,B,4,1,G043,FB-B,,,,,,,,,,,,,,
2,1,FB,Pg,E,1,5,G044,FB-E,,,,,,,,,,,,,,
2,1,FB,Pg,E,1,4,G045,FB-E,,,,,,,,,,,,,,
2,1,FB,Pg,E,3,2,G046,FB-E,,,,,,,,,,,,,,
2,1,FB,Pg,E,1,3,G047,FB-E,,,,,,,,,,,,,,
2,1,FB,Pg,E,1,2,G048,FB-E,1/23/17,geoduck1,geoduck13,,,,,,,,,,,
2,1,FB,Pg,E,1,1,G049,FB-E,,,,,,,,,,,,,,
2,1,FB,Pg,E,2,5,G050,FB-E,,,,,,,,,,,,,,
2,1,FB,Pg,E,2,4,G051,FB-E,,,,,,,,,,,,,,
2,1,FB,Pg,E,2,3,G052,FB-E,,,,,,,,,,,,,,
2,1,FB,Pg,E,2,2,G053,FB-E,,,,,,,,,,,,,,
2,1,FB,Pg,E,2,1,G054,FB-E,,,,,,,,,,,,,,
2,1,FB,Pg,E,3,3,G055,FB-E,,,,,,,,,,,,,,
2,1,FB,Pg,E,3,1,G056,FB-E,,,,,,,,,,,,,,
1,1,FB,Pg,B,5,4,G057,FB-B,,,,,,,,,,,,,,
1,1,FB,Pg,B,5,3,G058,FB-B,1/23/17,geoduck6,geoduck14,,,,,,,,,,,
1,1,FB,Pg,B,5,2,G059,FB-B,,,,,,,,,,,,,,
1,1,FB,Pg,B,5,1,G060,FB-B,,,,,,,,,,,,,,
1,1,PG,Pg,B,4,1,G061,PG-B,,,,,,,,,,,,,,
1,1,PG,Pg,B,4,2,G062,PG-B,,,,,,,,,,,,,,
1,1,PG,Pg,B,4,3,G063,PG-B,,,,,,,,,,,,,,
1,1,PG,Pg,B,4,4,G064,PG-B,,,,,,,,,,,,,,
1,1,PG,Pg,B,4,5,G065,PG-B,,,,,,,,,,,,,,
1,1,PG,Pg,B,6,1,G066,PG-B,,,,,,,,,,,,,,
1,1,PG,Pg,B,6,2,G067,PG-B,,,,,,,,,,,,,,
1,1,PG,Pg,B,6,3,G068,PG-B,1/23/17,geoduck4,geoduck18,,,,,,,,,,,
1,1,PG,Pg,B,6,4,G069,PG-B,,,,,,,,,,,,,,
1,1,PG,Pg,B,6,5,G070,PG-B,,,,,,,,,,,,,,
2,1,PG,Pg,E,2,1,G071,PG-E,,,,,,,,,,,,,,
2,1,PG,Pg,E,2,2,G072,PG-E,,,,,,,,,,,,,,
2,1,PG,Pg,E,2,3,G073,PG-E,,,,,,,,,,,,,,
2,1,PG,Pg,E,2,4,G074,PG-E,,,,,,,,,,,,,,
2,1,PG,Pg,E,1,1,G075,PG-E,,,,,,,,,,,,,,
2,1,PG,Pg,E,1,2,G076,PG-E,,,,,,,,,,,,,,
2,1,PG,Pg,E,1,3,G077,PG-E,1/23/17,geoduck10,geoduck12,,,,,,,,,,,
1,1,PG,Pg,B,5,1,G078,PG-B,,,,,,,,,,,,,,
1,1,PG,Pg,B,5,2,G079,PG-B,,,,,,,,,,,,,,
1,1,PG,Pg,B,5,3,G080,PG-B,,,,,,,,,,,,,,
1,1,PG,Pg,B,5,4,G081,PG-B,,,,,,,,,,,,,,
3,2,CI,Pg,B,6,1,G082,CI-B,,,,,,,,,,,,,,
3,2,CI,Pg,B,6,2,G083,CI-B,,,,,,,,,,,,,,
3,2,CI,Pg,B,6,3,G084,CI-B,,,,,,,,,,,,,,
3,2,CI,Pg,B,5,1,G085,CI-B,,,,,,,,,,,,,,
3,2,CI,Pg,B,5,2,G086,CI-B,,,,,,,,,,,,,,
4,2,CI,Pg,E,2,1,G087,CI-E,,,,,,,,,,,,,,
4,2,CI,Pg,E,2,2,G088,CI-E,,,,,,,,,,,,,,
4,2,CI,Pg,E,2,3,G089,CI-E,,,,,,,,,,,,,,
4,2,FB,Pg,E,2,1,G090,FB-E,,,,,,,,,,,,,,
1,1,SK,Pg,B,6,1,G091,SK-B,,,,,,,,,,,,,,
1,1,SK,Pg,B,6,2,G092,SK-B,1/23/17,geoduck8,geoduck19,,,,,,,,,,,
2,1,SK,Pg,E,1,1,G093,SK-E,,,,,,,,,,,,,,
2,1,SK,Pg,E,1,2,G094,SK-E,,,,,,,,,,,,,,
2,1,SK,Pg,E,1,3,G095,SK-E,,,,,,,,,,,,,,
2,1,SK,Pg,E,1,4,G096,SK-E,,,,,,,,,,,,,,
2,1,SK,Pg,E,1,5,G097,SK-E,1/23/17,geoduck5,geoduck17,,,,,,,,,,,
2,1,SK,Pg,E,2,1,G098,SK-E,,,,,,,,,,,,,,
2,1,SK,Pg,E,2,2,G099,SK-E,,,,,,,,,,,,,,
,,,,,,,BLANK,-,1/23/17,geoduck21,n/a,,,,,,,,,,,
,,,,,,,,-,,,,,,,,,,,,,,
